topo,seed,agent,indeg,eig,meanV
Scale Free,43,56,4,0.1905,30.786
Scale Free,43,57,1,0.0476,35.088
Scale Free,43,58,0,0.0,30.032
Scale Free,43,59,3,0.1429,29.778
Scale Free,43,60,2,0.0952,27.832
Scale Free,43,61,2,0.0952,30.762
Scale Free,43,62,1,0.0476,27.788
Scale Free,43,63,0,0.0,29.372
Scale Free,43,64,1,0.0476,31.004
Scale Free,43,65,1,0.0476,27.504
Scale Free,43,66,1,0.0476,28.218
Scale Free,43,67,1,0.0476,31.142
Scale Free,43,68,5,0.2381,28.094
Scale Free,43,69,1,0.0476,31.518
Scale Free,43,70,1,0.0476,30.882
Scale Free,43,71,2,0.0952,30.894
Scale Free,43,72,2,0.0952,30.146
Scale Free,43,73,3,0.1429,29.754
Scale Free,43,74,3,0.1429,30.142
Scale Free,43,75,2,0.0952,29.158
Scale Free,43,76,4,0.1905,28.398
Scale Free,43,77,1,0.0476,30.606
Scale Free,43,78,2,0.0952,29.152
Scale Free,43,79,3,0.1429,30.172
Scale Free,44,0,30,1.0,25.932
Scale Free,44,1,10,0.3333,27.85
Scale Free,44,2,14,0.4667,26.228
Scale Free,44,3,11,0.3667,28.222
Scale Free,44,4,12,0.4,29.286
Scale Free,44,5,1,0.0333,27.386
Scale Free,44,6,3,0.1,28.278
Scale Free,44,7,14,0.4667,27.67
Scale Free,44,8,5,0.1667,29.534
Scale Free,44,9,10,0.3333,27.542
Scale Free,44,10,9,0.3,28.702
Scale Free,44,11,0,0.0,30.262
Scale Free,44,12,4,0.1333,29.682
Scale Free,44,13,1,0.0333,28.822
Scale Free,44,14,4,0.1333,30.54
Scale Free,44,15,5,0.1667,28.722
Scale Free,44,16,5,0.1667,27.66
Scale Free,44,17,5,0.1667,27.52
Scale Free,44,18,1,0.0333,28.442
Scale Free,44,19,4,0.1333,28.966
Scale Free,44,20,1,0.0333,32.854
Scale Free,44,21,4,0.1333,30.636
Scale Free,44,22,7,0.2333,29.706
Scale Free,44,23,6,0.2,27.532
Scale Free,44,24,0,0.0,30.112
Scale Free,44,25,3,0.1,31.332
Scale Free,44,26,8,0.2667,27.604
Scale Free,44,27,4,0.1333,30.698
Scale Free,44,28,4,0.1333,28.05
Scale Free,44,29,0,0.0,33.492
Scale Free,44,30,2,0.0667,29.226
Scale Free,44,31,0,0.0,30.236
Scale Free,44,32,3,0.1,27.888
Scale Free,44,33,2,0.0667,33.466
Scale Free,44,34,4,0.1333,28.994
Scale Free,44,35,1,0.0333,28.73
Scale Free,44,36,1,0.0333,29.69
Scale Free,44,37,4,0.1333,29.932
Scale Free,44,38,6,0.2,27.934
Scale Free,44,39,2,0.0667,30.362
Scale Free,44,40,1,0.0333,31.458
Scale Free,44,41,1,0.0333,31.68
Scale Free,44,42,2,0.0667,30.112
Scale Free,44,43,0,0.0,27.01
Scale Free,44,44,0,0.0,34.678
Scale Free,44,45,4,0.1333,31.3
Scale Free,44,46,1,0.0333,28.942
Scale Free,44,47,3,0.1,29.1
Scale Free,44,48,1,0.0333,29.108
Scale Free,44,49,0,0.0,30.018
Scale Free,44,50,6,0.2,31.166
Scale Free,44,51,2,0.0667,27.566
Scale Free,44,52,2,0.0667,30.142
Scale Free,44,53,3,0.1,31.276
Scale Free,44,54,2,0.0667,31.766
Scale Free,44,55,0,0.0,28.644
Scale Free,44,56,2,0.0667,30.02
Scale Free,44,57,1,0.0333,31.594
Scale Free,44,58,1,0.0333,27.766
Scale Free,44,59,2,0.0667,29.782
Scale Free,44,60,3,0.1,31.242
Scale Free,44,61,1,0.0333,28.558
Scale Free,44,62,2,0.0667,28.67
Scale Free,44,63,2,0.0667,32.284
Scale Free,44,64,0,0.0,31.546
Scale Free,44,65,1,0.0333,33.044
Scale Free,44,66,1,0.0333,32.872
Scale Free,44,67,3,0.1,29.836
Scale Free,44,68,3,0.1,30.806
Scale Free,44,69,1,0.0333,30.704
Scale Free,44,70,1,0.0333,30.678
Scale Free,44,71,2,0.0667,28.55
Scale Free,44,72,2,0.0667,30.032
Scale Free,44,73,6,0.2,27.862
Scale Free,44,74,2,0.0667,31.802
Scale Free,44,75,3,0.1,29.968
Scale Free,44,76,4,0.1333,28.724
Scale Free,44,77,2,0.0667,32.104
Scale Free,44,78,1,0.0333,29.062
Scale Free,44,79,2,0.0667,28.47
Scale Free,45,0,24,1.0,24.362
Scale Free,45,1,15,0.625,26.454
Scale Free,45,2,9,0.375,26.34
Scale Free,45,3,14,0.5833,26.8
Scale Free,45,4,4,0.1667,27.45
Scale Free,45,5,4,0.1667,29.77
Scale Free,45,6,0,0.0,29.586
Scale Free,45,7,6,0.25,29.266
Scale Free,45,8,9,0.375,26.576
Scale Free,45,9,9,0.375,27.728
Scale Free,45,10,5,0.2083,30.288
Scale Free,45,11,11,0.4583,25.504
Scale Free,45,12,0,0.0,30.014
Scale Free,45,13,0,0.0,34.122
Scale Free,45,14,8,0.3333,26.62
Scale Free,45,15,6,0.25,26.168
Scale Free,45,16,4,0.1667,26.712
Scale Free,45,17,5,0.2083,31.588
Scale Free,45,18,1,0.0417,32.558
Scale Free,45,19,3,0.125,27.98
Scale Free,45,20,6,0.25,30.258
Scale Free,45,21,3,0.125,30.258
Scale Free,45,22,6,0.25,29.1
Scale Free,45,23,5,0.2083,29.606
Scale Free,45,24,1,0.0417,31.36
Scale Free,45,25,12,0.5,26.292
Scale Free,45,26,5,0.2083,28.982
Scale Free,45,27,2,0.0833,31.836
Scale Free,45,28,1,0.0417,35.052
Scale Free,45,29,5,0.2083,28.054
Scale Free,45,30,3,0.125,32.032
Scale Free,45,31,3,0.125,28.292
Scale Free,45,32,5,0.2083,29.304
Scale Free,45,33,1,0.0417,30.604
Scale Free,45,34,1,0.0417,31.21
Scale Free,45,35,6,0.25,27.152
Scale Free,45,36,2,0.0833,26.852
Scale Free,45,37,0,0.0,28.59
Scale Free,45,38,2,0.0833,32.982
Scale Free,45,39,5,0.2083,27.628
Scale Free,45,40,1,0.0417,32.298
Scale Free,45,41,4,0.1667,28.748
Scale Free,45,42,4,0.1667,28.834
Scale Free,45,43,1,0.0417,27.856
Scale Free,45,44,5,0.2083,28.638
Scale Free,45,45,5,0.2083,29.546
Scale Free,45,46,1,0.0417,33.446
Scale Free,45,47,0,0.0,34.64
Scale Free,45,48,4,0.1667,31.25
Scale Free,45,49,1,0.0417,34.172
Scale Free,45,50,4,0.1667,29.868
Scale Free,45,51,2,0.0833,29.898
Scale Free,45,52,1,0.0417,27.888
Scale Free,45,53,3,0.125,34.31
Scale Free,45,54,0,0.0,32.654
Scale Free,45,55,0,0.0,31.952
Scale Free,45,56,2,0.0833,28.414
Scale Free,45,57,1,0.0417,31.732
Scale Free,45,58,1,0.0417,31.206
Scale Free,45,59,1,0.0417,32.294
Scale Free,45,60,1,0.0417,30.924
Scale Free,45,61,3,0.125,34.29
Scale Free,45,62,0,0.0,29.404
Scale Free,45,63,2,0.0833,28.526
Scale Free,45,64,2,0.0833,29.214
Scale Free,45,65,3,0.125,29.516
Scale Free,45,66,1,0.0417,36.356
Scale Free,45,67,0,0.0,32.06
Scale Free,45,68,1,0.0417,30.482
Scale Free,45,69,3,0.125,33.014
Scale Free,45,70,1,0.0417,32.334
Scale Free,45,71,1,0.0417,34.304
Scale Free,45,72,3,0.125,30.15
Scale Free,45,73,3,0.125,29.744
Scale Free,45,74,4,0.1667,28.164
Scale Free,45,75,1,0.0417,34.354
Scale Free,45,76,0,0.0,32.95
Scale Free,45,77,1,0.0417,32.178
Scale Free,45,78,2,0.0833,28.144
Scale Free,45,79,2,0.0833,30.928
Scale Free,46,0,21,1.0,24.93
Scale Free,46,1,21,1.0,26.362
Scale Free,46,2,12,0.5714,27.802
Scale Free,46,3,16,0.7619,26.156
Scale Free,46,4,3,0.1429,33.39
Scale Free,46,5,5,0.2381,27.274
Scale Free,46,6,3,0.1429,29.406
Scale Free,46,7,6,0.2857,27.638
Scale Free,46,8,7,0.3333,29.072
Scale Free,46,9,6,0.2857,29.482
Scale Free,46,10,3,0.1429,28.276
Scale Free,46,11,10,0.4762,27.416
Scale Free,46,12,3,0.1429,28.622
Scale Free,46,13,10,0.4762,27.284
Scale Free,46,14,0,0.0,29.428
Scale Free,46,15,3,0.1429,27.926
Scale Free,46,16,5,0.2381,30.482
Scale Free,46,17,3,0.1429,30.932
Scale Free,46,18,3,0.1429,31.26
Scale Free,46,19,2,0.0952,28.81
Scale Free,46,20,6,0.2857,27.106
Scale Free,46,21,9,0.4286,25.69
Scale Free,46,22,10,0.4762,25.54
Scale Free,46,23,6,0.2857,29.372
Scale Free,46,24,3,0.1429,29.08
Scale Free,46,25,2,0.0952,31.858
Scale Free,46,26,3,0.1429,30.778
Scale Free,46,27,0,0.0,29.238
Scale Free,46,28,1,0.0476,32.81
Scale Free,46,29,1,0.0476,32.534
