topo,seed,agent,indeg,eig,meanV
Scale Free,50,34,2,0.1667,30.192
Scale Free,50,35,2,0.1667,31.038
Scale Free,50,36,2,0.1667,31.258
Scale Free,50,37,4,0.3333,23.878
Scale Free,50,38,1,0.0833,31.164
Scale Free,50,39,0,0.0,33.662
Scale Free,50,40,2,0.1667,33.638
Scale Free,50,41,4,0.3333,29.47
Scale Free,50,42,0,0.0,31.98
Scale Free,50,43,3,0.25,28.062
Scale Free,50,44,2,0.1667,29.468
Scale Free,50,45,3,0.25,26.222
Scale Free,50,46,4,0.3333,28.628
Scale Free,50,47,1,0.0833,30.182
Scale Free,50,48,4,0.3333,27.254
Scale Free,50,49,4,0.3333,27.662
Scale Free,50,50,5,0.4167,26.886
Scale Free,50,51,2,0.1667,29.868
Scale Free,50,52,1,0.0833,27.234
Scale Free,50,53,1,0.0833,30.854
Scale Free,50,54,1,0.0833,33.75
Scale Free,50,55,3,0.25,28.898
Scale Free,50,56,7,0.5833,29.254
Scale Free,50,57,2,0.1667,29.102
Scale Free,50,58,4,0.3333,28.53
Scale Free,50,59,3,0.25,31.92
Scale Free,50,60,3,0.25,27.184
Scale Free,50,61,2,0.1667,25.92
Scale Free,50,62,2,0.1667,31.578
Scale Free,50,63,2,0.1667,30.596
Scale Free,50,64,1,0.0833,30.88
Scale Free,50,65,2,0.1667,29.942
Scale Free,50,66,1,0.0833,30.874
Scale Free,50,67,1,0.0833,30.946
Scale Free,50,68,3,0.25,29.886
Scale Free,50,69,5,0.4167,27.602
Scale Free,50,70,4,0.3333,28.926
Scale Free,50,71,2,0.1667,31.236
Scale Free,50,72,2,0.1667,31.918
Scale Free,50,73,1,0.0833,31.226
Scale Free,50,74,4,0.3333,28.544
Scale Free,50,75,2,0.1667,32.014
Scale Free,50,76,1,0.0833,29.08
Scale Free,50,77,1,0.0833,29.052
Scale Free,50,78,2,0.1667,28.946
Scale Free,50,79,3,0.25,31.73
Scale Free,51,0,11,0.6875,27.582
Scale Free,51,1,12,0.75,26.218
Scale Free,51,2,9,0.5625,27.308
Scale Free,51,3,8,0.5,29.378
Scale Free,51,4,7,0.4375,28.068
Scale Free,51,5,16,1.0,25.016
Scale Free,51,6,9,0.5625,25.464
Scale Free,51,7,5,0.3125,27.546
Scale Free,51,8,4,0.25,29.848
Scale Free,51,9,6,0.375,29.564
Scale Free,51,10,9,0.5625,26.654
Scale Free,51,11,2,0.125,30.408
Scale Free,51,12,10,0.625,25.174
Scale Free,51,13,0,0.0,33.568
Scale Free,51,14,1,0.0625,32.038
Scale Free,51,15,4,0.25,28.698
Scale Free,51,16,8,0.5,29.44
Scale Free,51,17,6,0.375,28.084
Scale Free,51,18,3,0.1875,29.546
Scale Free,51,19,12,0.75,24.706
Scale Free,51,20,2,0.125,29.214
Scale Free,51,21,2,0.125,30.772
Scale Free,51,22,4,0.25,30.106
Scale Free,51,23,2,0.125,32.892
Scale Free,51,24,9,0.5625,27.524
Scale Free,51,25,6,0.375,27.338
Scale Free,51,26,8,0.5,27.072
Scale Free,51,27,3,0.1875,24.922
Scale Free,51,28,2,0.125,33.248
Scale Free,51,29,1,0.0625,31.75
Scale Free,51,30,1,0.0625,32.838
Scale Free,51,31,3,0.1875,27.868
Scale Free,51,32,0,0.0,31.442
Scale Free,51,33,6,0.375,28.846
Scale Free,51,34,2,0.125,29.9
Scale Free,51,35,4,0.25,30.014
Scale Free,51,36,4,0.25,27.412
Scale Free,51,37,3,0.1875,30.022
Scale Free,51,38,6,0.375,27.236
Scale Free,51,39,3,0.1875,28.384
Scale Free,51,40,3,0.1875,30.236
Scale Free,51,41,3,0.1875,28.8
Scale Free,51,42,1,0.0625,30.652
Scale Free,51,43,4,0.25,28.666
Scale Free,51,44,1,0.0625,32.872
Scale Free,51,45,0,0.0,38.148
Scale Free,51,46,0,0.0,31.244
Scale Free,51,47,2,0.125,29.606
Scale Free,51,48,1,0.0625,30.544
Scale Free,51,49,2,0.125,29.814
Scale Free,51,50,1,0.0625,28.066
Scale Free,51,51,2,0.125,31.168
Scale Free,51,52,3,0.1875,30.47
Scale Free,51,53,2,0.125,31.836
Scale Free,51,54,4,0.25,26.992
Scale Free,51,55,1,0.0625,31.488
Scale Free,51,56,3,0.1875,28.822
Scale Free,51,57,1,0.0625,29.466
Scale Free,51,58,6,0.375,28.802
Scale Free,51,59,2,0.125,28.418
Scale Free,51,60,2,0.125,28.1
Scale Free,51,61,1,0.0625,30.102
Scale Free,51,62,2,0.125,31.08
Scale Free,51,63,2,0.125,32.75
Scale Free,51,64,3,0.1875,29.54
Scale Free,51,65,6,0.375,28.994
Scale Free,51,66,4,0.25,26.45
Scale Free,51,67,3,0.1875,28.394
Scale Free,51,68,3,0.1875,27.936
Scale Free,51,69,3,0.1875,27.414
Scale Free,51,70,1,0.0625,28.106
Scale Free,51,71,2,0.125,29.454
Scale Free,51,72,1,0.0625,30.042
Scale Free,51,73,3,0.1875,31.904
Scale Free,51,74,1,0.0625,31.252
Scale Free,51,75,1,0.0625,34.264
Scale Free,51,76,3,0.1875,28.134
Scale Free,51,77,3,0.1875,29.894
Scale Free,51,78,1,0.0625,32.602
Scale Free,51,79,1,0.0625,31.322
Random,42,0,6,0.6667,29.01
Random,42,1,3,0.3333,28.472
Random,42,2,7,0.7778,28.308
Random,42,3,9,1.0,27.63
Random,42,4,5,0.5556,30.58
Random,42,5,9,1.0,28.676
Random,42,6,2,0.2222,32.066
Random,42,7,4,0.4444,28.418
Random,42,8,4,0.4444,28.764
Random,42,9,3,0.3333,28.814
Random,42,10,4,0.4444,28.604
Random,42,11,0,0.0,36.51
Random,42,12,4,0.4444,28.506
Random,42,13,6,0.6667,26.988
Random,42,14,4,0.4444,29.042
Random,42,15,5,0.5556,27.41
Random,42,16,6,0.6667,28.004
Random,42,17,3,0.3333,30.544
Random,42,18,4,0.4444,29.932
Random,42,19,6,0.6667,28.474
Random,42,20,1,0.1111,31.952
Random,42,21,2,0.2222,29.868
Random,42,22,2,0.2222,32.13
Random,42,23,5,0.5556,28.692
Random,42,24,3,0.3333,30.506
Random,42,25,1,0.1111,31.736
Random,42,26,6,0.6667,27.272
Random,42,27,5,0.5556,27.77
Random,42,28,5,0.5556,29.51
Random,42,29,6,0.6667,27.58
Random,42,30,5,0.5556,28.902
Random,42,31,5,0.5556,29.18
Random,42,32,3,0.3333,30.888
Random,42,33,2,0.2222,30.606
Random,42,34,1,0.1111,32.51
Random,42,35,4,0.4444,29.6
Random,42,36,2,0.2222,30.734
Random,42,37,7,0.7778,26.572
Random,42,38,4,0.4444,29.484
Random,42,39,3,0.3333,30.324
Random,42,40,6,0.6667,29.188
Random,42,41,1,0.1111,32.474
Random,42,42,3,0.3333,30.078
Random,42,43,4,0.4444,28.332
Random,42,44,7,0.7778,26.826
Random,42,45,3,0.3333,29.864
Random,42,46,1,0.1111,30.158
Random,42,47,4,0.4444,27.688
Random,42,48,4,0.4444,28.816
Random,42,49,5,0.5556,27.748
Random,42,50,3,0.3333,29.618
Random,42,51,2,0.2222,32.592
Random,42,52,5,0.5556,28.022
Random,42,53,0,0.0,30.08
Random,42,54,5,0.5556,27.908
Random,42,55,2,0.2222,30.834
Random,42,56,5,0.5556,27.766
Random,42,57,5,0.5556,29.212
Random,42,58,2,0.2222,29.77
Random,42,59,4,0.4444,26.81
Random,42,60,0,0.0,31.372
Random,42,61,5,0.5556,28.154
Random,42,62,4,0.4444,28.416
Random,42,63,3,0.3333,30.978
Random,42,64,5,0.5556,30.752
Random,42,65,2,0.2222,30.19
Random,42,66,6,0.6667,27.832
Random,42,67,7,0.7778,28.284
Random,42,68,3,0.3333,31.326
Random,42,69,5,0.5556,28.708
Random,42,70,6,0.6667,28.934
Random,42,71,5,0.5556,27.746
Random,42,72,3,0.3333,33.38
Random,42,73,3,0.3333,30.394
Random,42,74,2,0.2222,29.176
Random,42,75,5,0.5556,27.786
Random,42,76,3,0.3333,30.268
Random,42,77,3,0.3333,32.084
Random,42,78,5,0.5556,27.89
Random,42,79,1,0.1111,32.546
Random,43,0,6,0.75,29.662
Random,43,1,3,0.375,29.278
Random,43,2,3,0.375,27.468
Random,43,3,4,0.5,28.852
Random,43,4,5,0.625,29.38
Random,43,5,5,0.625,28.728
Random,43,6,1,0.125,28.51
Random,43,7,5,0.625,26.938
Random,43,8,5,0.625,29.75
Random,43,9,0,0.0,34.392
Random,43,10,3,0.375,27.21
Random,43,11,3,0.375,28.528
Random,43,12,2,0.25,30.036
Random,43,13,2,0.25,28.668
Random,43,14,3,0.375,30.158
Random,43,15,2,0.25,28.352
Random,43,16,6,0.75,29.434
Random,43,17,6,0.75,29.698
Random,43,18,3,0.375,28.868
Random,43,19,2,0.25,31.748
Random,43,20,3,0.375,31.222
Random,43,21,7,0.875,27.076
Random,43,22,6,0.75,26.218
Random,43,23,1,0.125,27.828
Random,43,24,2,0.25,29.952
Random,43,25,7,0.875,26.662
Random,43,26,1,0.125,30.66
Random,43,27,2,0.25,30.168
Random,43,28,5,0.625,25.87
Random,43,29,5,0.625,27.486
Random,43,30,3,0.375,29.294
Random,43,31,7,0.875,27.772
Random,43,32,4,0.5,29.69
Random,43,33,6,0.75,28.502
Random,43,34,5,0.625,27.296
Random,43,35,4,0.5,31.618
Random,43,36,0,0.0,34.73
Random,43,37,4,0.5,27.698
Random,43,38,7,0.875,25.402
Random,43,39,7,0.875,27.498
Random,43,40,3,0.375,26.676
Random,43,41,2,0.25,30.152
Random,43,42,6,0.75,28.472
Random,43,43,5,0.625,29.65
Random,43,44,3,0.375,32.378
Random,43,45,3,0.375,30.158
Random,43,46,1,0.125,31.554
Random,43,47,5,0.625,27.792
Random,43,48,2,0.25,30.542
Random,43,49,2,0.25,29.226
Random,43,50,6,0.75,26.97
Random,43,51,7,0.875,28.118
Random,43,52,8,1.0,29.152
Random,43,53,6,0.75,26.96
Random,43,54,5,0.625,28.128
Random,43,55,4,0.5,30.808
Random,43,56,2,0.25,30.068
Random,43,57,4,0.5,25.956
Random,43,58,1,0.125,30.988
Random,43,59,5,0.625,27.954
Random,43,60,5,0.625,28.076
Random,43,61,4,0.5,26.628
Random,43,62,4,0.5,30.054
Random,43,63,7,0.875,26.724
Random,43,64,8,1.0,26.062
Random,43,65,5,0.625,26.774
Random,43,66,4,0.5,28.312
Random,43,67,2,0.25,30.392
Random,43,68,3,0.375,30.494
Random,43,69,2,0.25,30.774
Random,43,70,3,0.375,29.48
Random,43,71,6,0.75,26.318
Random,43,72,0,0.0,32.86
Random,43,73,3,0.375,29.65
Random,43,74,3,0.375,28.046
Random,43,75,1,0.125,32.692
Random,43,76,6,0.75,27.918
Random,43,77,2,0.25,28.098
Random,43,78,4,0.5,31.146
Random,43,79,2,0.25,29.364
Random,44,0,7,0.7778,30.188
Random,44,1,2,0.2222,29.39
Random,44,2,2,0.2222,29.488
Random,44,3,1,0.1111,28.122
Random,44,4,7,0.7778,26.212
Random,44,5,6,0.6667,31.2
Random,44,6,9,1.0,28.95
Random,44,7,2,0.2222,30.876
Random,44,8,3,0.3333,29.63
Random,44,9,4,0.4444,26.796
Random,44,10,6,0.6667,26.966
Random,44,11,4,0.4444,30.366
Random,44,12,1,0.1111,33.368
Random,44,13,5,0.5556,27.828
Random,44,14,1,0.1111,31.692
Random,44,15,4,0.4444,30.08
Random,44,16,5,0.5556,30.63
Random,44,17,2,0.2222,30.952
Random,44,18,7,0.7778,28.182
Random,44,19,3,0.3333,31.294
Random,44,20,3,0.3333,31.258
Random,44,21,6,0.6667,27.908
Random,44,22,2,0.2222,29.544
Random,44,23,3,0.3333,30.458
Random,44,24,5,0.5556,28.32
Random,44,25,4,0.4444,30.27
Random,44,26,2,0.2222,28.644
Random,44,27,4,0.4444,26.234
Random,44,28,5,0.5556,29.966
Random,44,29,4,0.4444,30.916
Random,44,30,6,0.6667,29.166
Random,44,31,2,0.2222,28.308
Random,44,32,1,0.1111,31.964
Random,44,33,2,0.2222,32.122
Random,44,34,2,0.2222,28.406
Random,44,35,9,1.0,27.762
Random,44,36,4,0.4444,28.204
Random,44,37,5,0.5556,29.646
Random,44,38,2,0.2222,30.034
Random,44,39,6,0.6667,29.82
Random,44,40,6,0.6667,28.886
Random,44,41,2,0.2222,31.354
Random,44,42,4,0.4444,28.408
Random,44,43,5,0.5556,28.004
Random,44,44,3,0.3333,29.216
Random,44,45,4,0.4444,28.886
Random,44,46,4,0.4444,28.352
Random,44,47,6,0.6667,28.588
Random,44,48,3,0.3333,32.296
Random,44,49,5,0.5556,31.646
Random,44,50,5,0.5556,27.046
Random,44,51,5,0.5556,26.432
Random,44,52,3,0.3333,30.868
Random,44,53,1,0.1111,30.158
Random,44,54,4,0.4444,26.756
Random,44,55,8,0.8889,28.112
Random,44,56,9,1.0,27.044
Random,44,57,3,0.3333,29.202
Random,44,58,3,0.3333,32.456
Random,44,59,1,0.1111,29.866
Random,44,60,3,0.3333,30.41
Random,44,61,5,0.5556,27.708
Random,44,62,5,0.5556,28.312
Random,44,63,7,0.7778,30.316
Random,44,64,4,0.4444,29.672
Random,44,65,4,0.4444,29.68
Random,44,66,6,0.6667,26.772
Random,44,67,0,0.0,31.15
Random,44,68,7,0.7778,27.21
Random,44,69,8,0.8889,27.214
Random,44,70,5,0.5556,27.972
Random,44,71,6,0.6667,28.866
Random,44,72,1,0.1111,28.81
Random,44,73,5,0.5556,29.612
Random,44,74,4,0.4444,28.692
Random,44,75,5,0.5556,30.476
Random,44,76,6,0.6667,28.754
Random,44,77,3,0.3333,30.53
Random,44,78,2,0.2222,30.052
Random,44,79,1,0.1111,31.764
Random,45,0,3,0.375,28.69
Random,45,1,2,0.25,32.984
Random,45,2,6,0.75,27.964
Random,45,3,3,0.375,30.66
Random,45,4,8,1.0,29.446
Random,45,5,5,0.625,27.85
Random,45,6,4,0.5,27.53
Random,45,7,2,0.25,33.234
Random,45,8,2,0.25,33.324
Random,45,9,3,0.375,29.768
Random,45,10,2,0.25,29.964
Random,45,11,3,0.375,29.968
Random,45,12,6,0.75,27.894
Random,45,13,2,0.25,31.636
Random,45,14,4,0.5,29.56
Random,45,15,6,0.75,28.158
Random,45,16,6,0.75,29.334
Random,45,17,3,0.375,27.694
Random,45,18,2,0.25,30.558
Random,45,19,6,0.75,27.694
Random,45,20,4,0.5,28.398
Random,45,21,7,0.875,27.562
Random,45,22,5,0.625,27.64
Random,45,23,5,0.625,27.48
Random,45,24,5,0.625,29.36
Random,45,25,5,0.625,30.178
Random,45,26,8,1.0,25.798
Random,45,27,2,0.25,32.104
Random,45,28,3,0.375,31.326
Random,45,29,4,0.5,26.826
Random,45,30,6,0.75,26.928
Random,45,31,3,0.375,31.21
Random,45,32,4,0.5,31.78
Random,45,33,5,0.625,27.962
Random,45,34,3,0.375,28.666
Random,45,35,5,0.625,27.074
Random,45,36,3,0.375,28.724
Random,45,37,4,0.5,29.79
Random,45,38,3,0.375,30.478
Random,45,39,4,0.5,29.264
Random,45,40,5,0.625,27.352
Random,45,41,3,0.375,29.378
Random,45,42,5,0.625,30.62
Random,45,43,7,0.875,27.74
Random,45,44,6,0.75,26.582
Random,45,45,4,0.5,26.034
Random,45,46,2,0.25,32.254
Random,45,47,5,0.625,28.968
Random,45,48,4,0.5,29.714
Random,45,49,4,0.5,28.044
Random,45,50,5,0.625,30.646
Random,45,51,6,0.75,26.096
Random,45,52,3,0.375,29.006
Random,45,53,5,0.625,28.354
Random,45,54,3,0.375,28.632
Random,45,55,5,0.625,27.288
Random,45,56,4,0.5,27.77
Random,45,57,6,0.75,28.064
Random,45,58,5,0.625,29.008
Random,45,59,3,0.375,28.122
Random,45,60,3,0.375,28.478
Random,45,61,5,0.625,25.946
Random,45,62,3,0.375,31.036
Random,45,63,4,0.5,33.556
Random,45,64,1,0.125,32.378
Random,45,65,5,0.625,29.126
Random,45,66,1,0.125,29.086
Random,45,67,5,0.625,27.37
Random,45,68,5,0.625,28.828
Random,45,69,1,0.125,30.042
Random,45,70,6,0.75,28.21
Random,45,71,4,0.5,31.306
Random,45,72,5,0.625,28.09
Random,45,73,2,0.25,30.092
Random,45,74,4,0.5,28.618
Random,45,75,6,0.75,28.954
Random,45,76,1,0.125,34.874
Random,45,77,3,0.375,26.842
Random,45,78,3,0.375,29.676
Random,45,79,2,0.25,33.794
Random,46,0,5,0.625,26.86
Random,46,1,2,0.25,30.886
Random,46,2,7,0.875,27.97
Random,46,3,2,0.25,31.636
Random,46,4,6,0.75,26.95
Random,46,5,8,1.0,27.652
Random,46,6,3,0.375,31.982
Random,46,7,2,0.25,32.978
Random,46,8,6,0.75,29.132
Random,46,9,2,0.25,31.946
Random,46,10,4,0.5,27.932
Random,46,11,3,0.375,28.524
Random,46,12,5,0.625,29.048
Random,46,13,4,0.5,28.51
Random,46,14,3,0.375,27.184
Random,46,15,4,0.5,27.802
Random,46,16,2,0.25,32.326
Random,46,17,4,0.5,31.668
Random,46,18,5,0.625,26.704
Random,46,19,7,0.875,27.894
Random,46,20,6,0.75,30.26
Random,46,21,4,0.5,30.152
Random,46,22,7,0.875,27.058
Random,46,23,3,0.375,31.6
Random,46,24,2,0.25,32.694
Random,46,25,1,0.125,32.964
Random,46,26,5,0.625,30.532
Random,46,27,5,0.625,28.57
Random,46,28,4,0.5,29.634
Random,46,29,2,0.25,28.618
Random,46,30,1,0.125,29.984
Random,46,31,2,0.25,29.868
Random,46,32,6,0.75,28.43
Random,46,33,4,0.5,28.398
Random,46,34,5,0.625,29.008
Random,46,35,5,0.625,30.216
Random,46,36,4,0.5,29.518
Random,46,37,4,0.5,29.06
Random,46,38,4,0.5,29.02
Random,46,39,4,0.5,27.69
Random,46,40,4,0.5,28.14
Random,46,41,0,0.0,31.338
Random,46,42,2,0.25,33.454
Random,46,43,3,0.375,30.058
Random,46,44,3,0.375,32.064
Random,46,45,5,0.625,29.706
Random,46,46,1,0.125,30.482
Random,46,47,6,0.75,31.27
Random,46,48,0,0.0,32.432
Random,46,49,3,0.375,27.412
Random,46,50,6,0.75,29.808
Random,46,51,3,0.375,28.626
Random,46,52,6,0.75,28.45
Random,46,53,2,0.25,29.43
Random,46,54,1,0.125,30.152
Random,46,55,4,0.5,28.034
Random,46,56,0,0.0,33.268
Random,46,57,3,0.375,30.73
Random,46,58,3,0.375,27.67
Random,46,59,4,0.5,27.472
Random,46,60,6,0.75,27.848
Random,46,61,6,0.75,28.866
Random,46,62,4,0.5,30.668
Random,46,63,5,0.625,30.496
Random,46,64,2,0.25,30.442
Random,46,65,4,0.5,30.712
Random,46,66,3,0.375,31.444
Random,46,67,5,0.625,28.914
Random,46,68,3,0.375,31.848
Random,46,69,7,0.875,27.382
Random,46,70,7,0.875,29.354
Random,46,71,2,0.25,31.988
Random,46,72,0,0.0,35.324
Random,46,73,3,0.375,29.02
Random,46,74,1,0.125,36.792
Random,46,75,3,0.375,30.994
Random,46,76,5,0.625,29.802
Random,46,77,4,0.5,31.466
Random,46,78,4,0.5,28.748
Random,46,79,2,0.25,30.208
Random,47,0,4,0.4444,26.308
Random,47,1,3,0.3333,29.354
Random,47,2,7,0.7778,24.296
Random,47,3,3,0.3333,27.208
Random,47,4,7,0.7778,26.218
Random,47,5,3,0.3333,25.9
Random,47,6,2,0.2222,28.916
Random,47,7,4,0.4444,28.684
Random,47,8,6,0.6667,25.776
Random,47,9,4,0.4444,29.122
Random,47,10,7,0.7778,24.35
Random,47,11,8,0.8889,26.57
Random,47,12,2,0.2222,26.804
Random,47,13,2,0.2222,28.102
Random,47,14,2,0.2222,29.852
Random,47,15,3,0.3333,24.496
Random,47,16,3,0.3333,27.156
Random,47,17,4,0.4444,27.524
Random,47,18,3,0.3333,25.526
Random,47,19,6,0.6667,28.118
Random,47,20,3,0.3333,27.662
Random,47,21,5,0.5556,27.068
Random,47,22,6,0.6667,24.968
Random,47,23,5,0.5556,26.83
Random,47,24,3,0.3333,28.036
Random,47,25,6,0.6667,28.652
Random,47,26,3,0.3333,28.69
Random,47,27,6,0.6667,27.164
Random,47,28,4,0.4444,29.538
Random,47,29,0,0.0,29.508
Random,47,30,7,0.7778,25.394
Random,47,31,3,0.3333,24.568
Random,47,32,6,0.6667,27.142
Random,47,33,4,0.4444,29.1
Random,47,34,1,0.1111,31.03
Random,47,35,5,0.5556,25.336
Random,47,36,4,0.4444,27.964
Random,47,37,1,0.1111,30.346
Random,47,38,5,0.5556,29.804
Random,47,39,3,0.3333,25.032
Random,47,40,2,0.2222,26.492
Random,47,41,4,0.4444,28.638
Random,47,42,3,0.3333,26.266
Random,47,43,2,0.2222,32.31
Random,47,44,6,0.6667,23.744
Random,47,45,1,0.1111,28.07
Random,47,46,6,0.6667,25.394
Random,47,47,1,0.1111,29.458
Random,47,48,9,1.0,25.438
Random,47,49,4,0.4444,27.474
Random,47,50,4,0.4444,26.118
Random,47,51,5,0.5556,24.724
Random,47,52,3,0.3333,28.016
Random,47,53,3,0.3333,32.008
Random,47,54,2,0.2222,27.216
Random,47,55,6,0.6667,24.8
Random,47,56,2,0.2222,27.68
Random,47,57,5,0.5556,26.146
Random,47,58,3,0.3333,28.762
Random,47,59,1,0.1111,28.668
Random,47,60,2,0.2222,29.358
Random,47,61,9,1.0,25.16
Random,47,62,4,0.4444,26.138
Random,47,63,4,0.4444,27.248
Random,47,64,4,0.4444,25.062
Random,47,65,3,0.3333,26.496
Random,47,66,5,0.5556,30.376
Random,47,67,3,0.3333,27.422
Random,47,68,4,0.4444,28.948
Random,47,69,2,0.2222,28.336
Random,47,70,3,0.3333,26.058
Random,47,71,3,0.3333,26.326
Random,47,72,7,0.7778,26.23
Random,47,73,2,0.2222,29.032
Random,47,74,3,0.3333,25.94
Random,47,75,2,0.2222,28.142
Random,47,76,6,0.6667,27.73
Random,47,77,3,0.3333,25.384
Random,47,78,3,0.3333,26.404
Random,47,79,4,0.4444,25.994
Random,48,0,4,0.4444,27.052
Random,48,1,2,0.2222,30.06
Random,48,2,3,0.3333,27.226
Random,48,3,4,0.4444,27.65
Random,48,4,1,0.1111,30.588
Random,48,5,3,0.3333,30.992
Random,48,6,1,0.1111,32.3
Random,48,7,3,0.3333,28.284
Random,48,8,3,0.3333,27.266
Random,48,9,3,0.3333,30.826
Random,48,10,3,0.3333,27.242
Random,48,11,5,0.5556,28.004
Random,48,12,2,0.2222,28.83
Random,48,13,4,0.4444,30.06
Random,48,14,5,0.5556,28.982
Random,48,15,3,0.3333,28.058
Random,48,16,2,0.2222,29.626
Random,48,17,6,0.6667,28.164
Random,48,18,5,0.5556,31.062
Random,48,19,5,0.5556,25.61
Random,48,20,2,0.2222,32.49
Random,48,21,1,0.1111,29.082
Random,48,22,6,0.6667,27.148
Random,48,23,5,0.5556,30.27
Random,48,24,5,0.5556,29.102
Random,48,25,2,0.2222,29.124
Random,48,26,2,0.2222,32.254
Random,48,27,2,0.2222,31.934
Random,48,28,1,0.1111,32.18
Random,48,29,5,0.5556,27.48
Random,48,30,1,0.1111,31.548
Random,48,31,6,0.6667,27.908
Random,48,32,4,0.4444,28.446
Random,48,33,4,0.4444,25.894
Random,48,34,5,0.5556,28.632
Random,48,35,3,0.3333,28.006
Random,48,36,5,0.5556,30.446
Random,48,37,5,0.5556,27.264
Random,48,38,2,0.2222,30.926
Random,48,39,1,0.1111,31.006
Random,48,40,4,0.4444,26.852
Random,48,41,4,0.4444,27.398
Random,48,42,7,0.7778,26.658
Random,48,43,2,0.2222,25.786
Random,48,44,1,0.1111,30.896
Random,48,45,4,0.4444,30.398
Random,48,46,1,0.1111,33.634
Random,48,47,4,0.4444,28.674
Random,48,48,4,0.4444,30.064
Random,48,49,3,0.3333,28.24
Random,48,50,4,0.4444,28.566
Random,48,51,2,0.2222,29.654
Random,48,52,1,0.1111,29.048
Random,48,53,1,0.1111,33.508
Random,48,54,5,0.5556,28.22
Random,48,55,2,0.2222,30.59
Random,48,56,4,0.4444,29.566
Random,48,57,3,0.3333,26.992
Random,48,58,0,0.0,34.956
Random,48,59,4,0.4444,30.302
Random,48,60,4,0.4444,28.48
Random,48,61,6,0.6667,29.51
Random,48,62,2,0.2222,27.57
Random,48,63,4,0.4444,30.558
Random,48,64,4,0.4444,29.624
Random,48,65,1,0.1111,31.628
Random,48,66,9,1.0,27.816
Random,48,67,5,0.5556,28.876
Random,48,68,7,0.7778,26.73
Random,48,69,6,0.6667,29.864
Random,48,70,3,0.3333,31.59
Random,48,71,3,0.3333,30.79
Random,48,72,2,0.2222,30.602
Random,48,73,5,0.5556,28.594
Random,48,74,6,0.6667,32.036
Random,48,75,4,0.4444,28.428
Random,48,76,1,0.1111,33.18
Random,48,77,4,0.4444,27.342
Random,48,78,2,0.2222,30.026
Random,48,79,5,0.5556,26.488
Random,49,0,2,0.25,30.32
Random,49,1,3,0.375,31.516
Random,49,2,2,0.25,29.398
Random,49,3,6,0.75,30.698
Random,49,4,5,0.625,28.976
Random,49,5,2,0.25,30.346
Random,49,6,6,0.75,29.478
Random,49,7,6,0.75,29.2
Random,49,8,5,0.625,25.412
Random,49,9,5,0.625,27.656
Random,49,10,2,0.25,31.64
Random,49,11,2,0.25,31.094
Random,49,12,6,0.75,26.86
Random,49,13,2,0.25,30.444
Random,49,14,3,0.375,31.33
Random,49,15,4,0.5,29.048
Random,49,16,3,0.375,32.514
Random,49,17,4,0.5,28.862
Random,49,18,3,0.375,29.56
Random,49,19,3,0.375,29.114
Random,49,20,3,0.375,28.66
Random,49,21,6,0.75,27.318
Random,49,22,5,0.625,28.504
Random,49,23,5,0.625,27.436
Random,49,24,2,0.25,30.276
Random,49,25,4,0.5,28.232
Random,49,26,8,1.0,29.288
Random,49,27,5,0.625,29.432
Random,49,28,4,0.5,28.376
Random,49,29,3,0.375,29.848
Random,49,30,3,0.375,28.206
Random,49,31,2,0.25,28.828
Random,49,32,3,0.375,31.444
Random,49,33,5,0.625,31.186
Random,49,34,4,0.5,30.588
Random,49,35,1,0.125,30.382
Random,49,36,6,0.75,31.348
Random,49,37,2,0.25,25.418
Random,49,38,3,0.375,31.338
Random,49,39,7,0.875,26.692
Random,49,40,3,0.375,30.43
Random,49,41,1,0.125,30.44
Random,49,42,3,0.375,27.834
Random,49,43,8,1.0,27.58
Random,49,44,2,0.25,31.582
Random,49,45,5,0.625,27.458
Random,49,46,1,0.125,32.036
Random,49,47,5,0.625,29.752
Random,49,48,4,0.5,29.0
Random,49,49,4,0.5,31.656
Random,49,50,3,0.375,30.184
Random,49,51,4,0.5,30.948
Random,49,52,5,0.625,28.344
Random,49,53,1,0.125,30.634
Random,49,54,1,0.125,30.47
Random,49,55,4,0.5,29.156
Random,49,56,1,0.125,30.612
Random,49,57,4,0.5,26.846
Random,49,58,5,0.625,28.592
Random,49,59,5,0.625,29.352
Random,49,60,3,0.375,30.04
Random,49,61,5,0.625,28.244
Random,49,62,0,0.0,31.256
Random,49,63,8,1.0,26.006
Random,49,64,4,0.5,30.88
Random,49,65,5,0.625,27.858
Random,49,66,7,0.875,27.986
Random,49,67,5,0.625,28.824
Random,49,68,3,0.375,30.848
Random,49,69,6,0.75,30.41
Random,49,70,0,0.0,34.882
Random,49,71,5,0.625,29.824
Random,49,72,3,0.375,30.738
Random,49,73,5,0.625,28.628
Random,49,74,5,0.625,27.626
Random,49,75,6,0.75,29.586
Random,49,76,4,0.5,30.658
Random,49,77,3,0.375,27.59
Random,49,78,5,0.625,31.338
Random,49,79,2,0.25,29.394
Random,50,0,3,0.2727,30.2
Random,50,1,7,0.6364,24.656
Random,50,2,2,0.1818,31.838
Random,50,3,2,0.1818,31.84
Random,50,4,5,0.4545,28.404
Random,50,5,4,0.3636,29.988
Random,50,6,4,0.3636,28.142
Random,50,7,6,0.5455,27.608
Random,50,8,4,0.3636,29.884
Random,50,9,7,0.6364,26.412
Random,50,10,3,0.2727,27.872
